@relation USER50_CURRENT_ATTRIBUTES_ONLY_Q57_28.02.2015.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C33-L3-3-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-Lfirst-last

@attribute klind_en {administrator,other,parent,pupil,student,'teacher ucha.se',teacher}
@attribute has_personal_info_1_q2b_111 {0,1}
@attribute months_between_first_and_last_accessed_resource numeric
@attribute grade_calculated_from_user_data {0,1,2,3,4,5,6,7,8,9,10,11,12}
@attribute most_watched_subject_name_in_english {'',Biology,Bulgarian,Chemistry,'English Beginners','English Intermediate',Environment,Fun,Geography,German,History,'Home land',Literature,Math,Music,'Person and nature','Person and society',Physics,Programming,Spanish}
@attribute most_watched_subject_id {0,26,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,45,46,47,48}
@attribute one_of_the_fav_subjects_entered_by_the_user_in_english {'',Biology,Bulgarian,Chemistry,'English Beginners','English Intermediate',Environment,French,Fun,Geography,German,History,'Home land',Literature,Math,Music,'Person and nature','Person and society',Physics,Programming,Spanish}
@attribute number_of_distinct_accessed_subjects numeric
@attribute total_time_watched_videos_in_seconds numeric
@attribute total_number_of_exercises_attempts numeric
@attribute number_of_distinct_exercises numeric
@attribute number_of_all_accessed_resources numeric
@attribute percent_videos_completed numeric
@attribute percent_exercises_completed_with_75_points_or_more numeric
@attribute total_number_of_user_comments numeric
@attribute type_id_of_first_subscription {1,2,3,4,5,6,7,9,10,11}
@attribute type_name_of_first_subscription {'','1 month','12 months','15 days','3 days','3 months','6 months'}
@attribute percent_played____10s__videos_also_exercised_on numeric
@attribute percent_exercises_retaken numeric
@attribute percent_of_distinct_exercises_which_were_retaken numeric
@attribute number_of_distinct_accessed_grades numeric
@attribute percent_video_watched_more_than_once numeric
@attribute percent_distinct_video_watched_more_than_once numeric
@attribute percent_distinct_played____10s__videos_also_commented_om numeric
@attribute young_leader_badge {0,1}
@attribute motivation_level {0,1,2,3,4,5,6}
@attribute leadership_level {0,1,2,3,4,5,6}
@attribute leadership_1___number_of_user_comments_with_rating___3 numeric
@attribute charisma {0,1,2,3,4,6}
@attribute number_invited_friends numeric
@attribute influence {0,1,2,3,4,5,6}
@attribute class {no,yes}

@data
pupil,1,17,7,Math,28,Fun,10,43876,14,6,139,64,0,2,1,'3 days',5,79,50,6,46,28,2,1,1,0,0,1,1,1,yes
student,0,17,7,Math,28,'',12,134744,0,0,299,76,0,0,9,'15 days',0,0,0,10,32,18,0,0,1,0,0,0,0,6,no
pupil,1,14,8,Math,28,Chemistry,6,7263,2,2,30,18,50,3,3,'3 months',0,0,0,5,0,0,3,1,1,0,2,0,0,2,no
student,1,5,0,Chemistry,26,'',3,12686,0,0,28,36,0,0,1,'3 days',0,0,0,3,0,0,0,0,0,0,0,0,0,0,no
pupil,1,16,7,Math,28,History,10,48125,5,5,183,26,20,15,3,'3 months',4,0,0,5,44,27,4,1,2,0,2,0,0,4,yes
pupil,0,8,5,History,34,'',6,32262,0,0,103,63,0,3,3,'3 months',0,0,0,2,78,56,3,1,0,0,1,0,0,1,no
pupil,1,9,6,Math,28,'Person and nature',3,6885,0,0,19,53,0,0,3,'3 months',0,0,0,1,32,19,0,1,1,0,0,0,0,0,no
pupil,1,6,6,Math,28,'English Beginners',6,14728,0,0,43,49,0,0,1,'3 days',0,0,0,2,26,14,0,0,0,0,0,0,0,0,no
pupil,1,17,7,Geography,37,Programming,7,48426,0,0,128,80,0,0,2,'1 month',0,0,0,2,45,23,0,0,2,0,0,0,0,0,yes
pupil,1,8,7,History,34,Physics,8,34407,0,0,115,56,0,56,3,'3 months',0,0,0,4,26,14,32,1,1,2,11,0,0,0,no
pupil,1,16,7,Math,28,'Person and nature',8,26540,10,6,98,50,40,2,3,'3 months',1,70,50,4,30,16,2,1,2,0,0,0,0,0,no
pupil,1,17,7,Geography,37,History,10,71203,0,0,277,14,0,0,1,'3 days',0,0,0,5,45,26,0,0,2,0,0,0,0,1,yes
pupil,0,6,9,Physics,31,'',5,13132,0,0,26,54,0,0,1,'3 days',0,0,0,2,8,4,0,0,0,0,0,0,0,0,no
pupil,0,6,6,Math,28,'',4,18180,0,0,48,69,0,0,2,'1 month',0,0,0,2,42,24,0,0,0,0,0,0,0,0,no
pupil,0,17,5,Bulgarian,36,'',5,34984,0,0,100,43,0,2,3,'3 months',0,0,0,3,56,34,1,1,1,0,0,0,0,0,yes
pupil,0,17,5,'Person and nature',39,'',7,13643,0,0,36,69,0,5,2,'1 month',0,0,0,5,14,6,9,1,0,0,2,0,0,0,no
pupil,1,8,7,Math,28,Chemistry,7,10849,0,0,29,48,0,0,1,'3 days',0,0,0,2,21,12,0,0,1,0,0,0,0,0,no
teacher,0,6,4,'Person and nature',39,'',7,15735,0,0,58,31,0,0,1,'3 days',0,0,0,3,41,26,0,0,0,0,0,0,0,0,no
pupil,0,16,8,History,34,'',5,43633,0,0,147,59,0,0,1,'3 days',0,0,0,3,43,20,0,0,1,0,0,0,0,0,no
teacher,0,10,1,History,34,'',6,33861,0,0,81,72,0,0,3,'3 months',0,0,0,6,32,18,0,1,1,0,0,0,0,0,no
pupil,0,14,8,Biology,32,'',8,20684,0,0,73,48,0,0,1,'3 days',0,0,0,4,33,20,0,0,0,0,0,0,0,0,no
pupil,0,7,6,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
pupil,1,14,5,'Person and nature',39,'Person and nature',6,20818,0,0,63,65,0,0,9,'15 days',0,0,0,4,56,24,0,0,2,0,0,0,0,0,no
parent,0,13,7,Math,28,'',5,32487,0,0,68,31,0,0,1,'3 days',0,0,0,4,53,35,0,1,2,0,0,0,0,0,yes
parent,0,17,6,History,34,'',6,29206,30,26,116,35,27,0,3,'3 months',16,23,12,4,43,27,0,1,2,0,0,0,0,0,yes
pupil,0,8,7,History,34,'',7,13097,0,0,38,79,0,0,1,'3 days',0,0,0,6,18,9,0,0,0,0,0,0,0,0,no
pupil,1,17,7,Math,28,Math,8,47706,9,7,171,22,0,7,2,'1 month',7,44,29,2,71,45,8,1,2,0,0,0,0,0,yes
pupil,0,17,0,Physics,31,'',6,25149,2,2,64,27,50,0,1,'3 days',0,0,0,4,37,22,0,1,1,0,0,0,0,0,yes
pupil,1,6,0,Chemistry,26,Math,6,9574,0,0,26,35,0,0,3,'3 months',0,0,0,2,8,4,0,1,1,0,0,0,0,0,no
teacher,0,17,7,Math,28,'',8,93742,30,24,317,29,37,0,3,'3 months',6,30,13,8,39,23,0,1,1,0,0,0,0,0,yes
teacher,0,13,8,Math,28,'',3,29630,0,0,99,41,0,0,3,'3 months',0,0,0,4,32,18,0,1,1,0,0,0,0,0,no
pupil,1,17,8,History,34,Biology,6,22777,0,0,76,59,0,3,3,'3 months',0,0,0,2,39,23,0,1,0,0,0,0,0,0,no
parent,0,6,9,'English Beginners',40,'',5,9282,0,0,26,42,0,0,3,'3 months',0,0,0,4,42,25,0,1,0,0,0,0,0,0,no
pupil,0,17,1,German,41,'',5,2502,0,0,9,22,0,0,1,'3 days',0,0,0,3,0,0,0,0,0,0,0,0,0,0,no
pupil,1,3,0,Biology,32,Chemistry,3,31751,0,0,60,40,0,0,3,'3 months',0,0,0,4,13,7,0,1,2,0,0,0,0,0,no
pupil,0,17,7,History,34,'',14,101819,43,23,339,53,65,0,3,'3 months',9,77,57,7,64,44,0,1,2,0,0,0,0,0,yes
pupil,0,17,6,Geography,37,'',6,13277,0,0,41,46,0,0,2,'1 month',0,0,0,4,29,17,0,0,1,0,0,0,0,0,yes
pupil,1,17,7,History,34,Geography,11,80767,2,2,297,32,100,3,3,'3 months',1,0,0,6,39,22,1,1,1,0,0,0,0,3,no
pupil,1,17,6,Geography,37,'Person and nature',10,33775,13,12,126,27,15,27,2,'1 month',11,15,8,7,35,19,10,1,1,1,4,0,0,4,yes
pupil,0,7,6,Math,28,'',2,12993,0,0,35,57,0,1,1,'3 days',0,0,0,1,40,22,3,0,1,0,0,0,0,0,no
pupil,0,8,9,Geography,37,'',4,14116,0,0,28,61,0,0,1,'3 days',0,0,0,1,21,12,0,0,0,0,0,1,2,0,no
pupil,0,9,8,Bulgarian,36,'',7,16285,0,0,50,34,0,0,3,'3 months',0,0,0,5,24,14,0,1,1,0,0,0,0,0,no
pupil,0,9,0,Chemistry,26,'',5,11339,0,0,33,12,0,0,1,'3 days',0,0,0,1,24,14,0,0,0,0,0,0,0,0,no
pupil,0,13,9,Math,28,'',1,11325,0,0,24,58,0,0,1,'3 days',0,0,0,3,54,35,0,0,1,0,0,0,0,0,no
student,0,10,2,Physics,31,'',5,84045,0,0,177,61,0,0,3,'3 months',0,0,0,6,36,21,0,1,2,0,0,0,0,0,no
pupil,1,7,0,History,34,German,5,14829,0,0,54,69,0,10,3,'3 months',0,0,0,4,43,24,7,1,0,0,0,0,0,0,no
pupil,0,5,0,Math,28,'',4,10132,0,0,22,36,0,0,1,'3 days',0,0,0,2,18,10,0,0,0,0,0,0,0,0,no
pupil,0,13,7,Geography,37,'',7,10546,0,0,27,81,0,0,9,'15 days',0,0,0,3,0,0,0,0,1,0,0,0,0,0,no
pupil,0,9,8,Math,28,'',4,46832,0,0,89,82,0,0,2,'1 month',0,0,0,3,38,20,0,0,2,0,0,0,0,0,no
pupil,0,5,6,Math,28,'',2,759,0,0,5,20,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,5,9,Chemistry,26,'',1,4723,0,0,12,8,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,9,9,Chemistry,26,'',5,18119,0,0,44,27,0,0,1,'3 days',0,0,0,2,52,32,0,0,0,0,0,0,0,0,no
pupil,0,7,8,'English Intermediate',30,'',5,7970,0,0,20,30,0,0,2,'1 month',0,0,0,3,20,11,0,0,0,0,0,0,0,0,no
pupil,1,17,7,'Person and nature',39,'Person and nature',11,68211,24,9,270,29,29,5,3,'3 months',4,75,33,5,60,37,2,1,2,0,2,1,1,4,yes
pupil,0,8,9,Physics,31,'',2,3498,0,0,14,14,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,6,7,Math,28,'',2,5567,0,0,16,38,0,0,1,'3 days',0,0,0,1,56,36,0,0,0,0,0,0,0,0,no
pupil,0,6,7,Math,28,'',8,23147,0,0,60,60,0,0,2,'1 month',0,0,0,4,23,12,0,0,0,0,0,0,0,0,no
pupil,0,8,9,Chemistry,26,'',6,21735,0,0,54,24,0,0,1,'3 days',0,0,0,4,22,13,0,0,0,0,0,0,0,0,no
pupil,0,17,9,Math,28,'',8,65332,5,5,190,23,80,0,2,'1 month',3,0,0,4,61,38,0,1,2,0,0,0,0,0,yes
pupil,1,12,7,History,34,History,5,32683,0,0,97,48,0,4,3,'3 months',0,0,0,3,51,31,4,1,1,0,2,0,0,0,no
pupil,0,5,0,History,34,'',6,12946,0,0,37,16,0,0,2,'1 month',0,0,0,3,19,9,0,0,0,0,0,0,0,0,no
pupil,0,2,0,Physics,31,'',6,8901,0,0,24,38,0,0,3,'3 months',0,0,0,3,29,11,0,1,0,0,0,0,0,0,no
pupil,1,17,8,Math,28,Chemistry,9,116278,5,3,258,53,20,1,3,'3 months',1,80,67,8,65,34,0,1,2,0,0,0,0,1,yes
pupil,0,17,9,Chemistry,26,'',6,106085,6,6,256,32,50,0,2,'1 month',3,0,0,4,20,11,0,1,3,0,0,0,0,0,yes
pupil,0,6,0,Chemistry,26,'',4,20507,0,0,44,18,0,0,1,'3 days',0,0,0,2,11,5,0,0,0,0,0,0,0,0,no
pupil,0,17,3,'Person and nature',39,'',8,10433,0,0,43,33,0,4,3,'3 months',0,0,0,5,33,17,11,1,1,0,0,0,0,1,yes
teacher,0,17,9,History,34,'',2,31171,3,3,74,69,33,0,3,'3 months',5,0,0,6,32,14,0,1,2,0,0,0,0,0,no
parent,0,8,5,Bulgarian,36,'',4,3622,0,0,12,33,0,0,2,'1 month',0,0,0,4,17,9,0,0,2,0,0,0,0,0,no
teacher,0,14,3,Biology,32,'',5,7773,0,0,34,32,0,0,1,'3 days',0,0,0,4,53,33,0,0,0,0,0,1,1,1,no
pupil,0,17,9,Chemistry,35,'',6,74423,0,0,172,64,0,20,2,'1 month',0,0,0,5,43,22,4,0,2,0,1,0,0,1,yes
pupil,0,17,0,'Person and nature',39,'',10,85499,0,0,194,52,0,2,2,'1 month',0,0,0,9,38,21,1,0,2,0,0,0,0,0,yes
pupil,0,13,8,Math,28,'',9,24065,0,0,74,41,0,3,2,'1 month',0,0,0,5,23,11,3,0,2,0,0,0,0,0,no
pupil,0,17,0,Chemistry,26,'',7,89571,2,2,220,32,0,0,3,'3 months',1,0,0,7,50,31,0,1,2,0,0,0,0,0,yes
pupil,1,7,9,Biology,32,Chemistry,2,2218,0,0,4,25,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,1,no
pupil,1,17,8,History,34,Math,7,81220,9,8,222,54,22,9,3,'3 months',4,22,13,6,42,23,3,1,2,0,2,0,0,0,no
pupil,1,7,7,History,34,Geography,8,93719,0,0,271,73,0,4,2,'1 month',0,0,0,4,66,45,2,0,1,0,0,0,0,0,no
pupil,1,7,7,Biology,32,Programming,8,13613,0,0,46,43,0,5,1,'3 days',0,0,0,2,4,2,4,0,1,0,1,0,0,2,no
pupil,0,13,8,Math,28,'',8,33178,0,0,106,40,0,2,1,'3 days',0,0,0,3,40,23,0,0,1,0,0,0,0,0,no
pupil,0,6,9,History,34,'',3,4351,0,0,9,100,0,0,2,'1 month',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,1,17,0,History,34,Chemistry,7,95799,0,0,199,67,0,0,3,'3 months',0,0,0,4,27,15,0,1,2,0,0,0,0,6,no
pupil,0,17,7,History,34,'',10,36961,10,9,135,26,20,6,1,'3 days',9,20,11,4,32,19,4,1,2,0,1,0,0,1,no
pupil,0,7,0,Bulgarian,36,'',7,2822,0,0,15,20,0,0,2,'1 month',0,0,0,5,13,7,0,0,0,0,0,0,0,0,no
pupil,1,7,7,Biology,32,Chemistry,6,10405,0,0,28,68,0,11,3,'3 months',0,0,0,1,61,42,26,1,0,0,1,0,0,1,no
pupil,1,17,8,Biology,32,Biology,9,62253,4,3,179,49,100,0,3,'3 months',0,50,33,5,29,17,0,1,2,0,0,0,0,0,yes
pupil,1,17,0,History,34,'Person and nature',4,5055,7,4,29,14,29,10,2,'1 month',22,71,50,3,32,17,33,1,1,0,0,0,0,0,yes
other,0,14,3,'English Beginners',40,'',8,52877,0,0,134,72,0,0,3,'3 months',0,0,0,6,78,46,0,1,1,0,0,0,0,0,no
pupil,0,8,7,Geography,37,'',8,43802,0,0,130,44,0,0,1,'3 days',0,0,0,2,35,20,0,0,1,0,0,0,0,0,no
student,0,0,1,German,41,'',1,194,0,0,1,0,0,0,9,'15 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,8,9,Physics,31,'',6,9886,0,0,26,27,0,0,2,'1 month',0,0,0,1,15,8,0,0,0,0,0,0,0,0,no
pupil,0,17,7,Math,28,'',10,43930,4,4,125,81,25,2,2,'1 month',3,0,0,3,45,25,2,1,2,0,0,0,0,0,yes
pupil,0,16,0,Physics,31,'',6,19628,1,1,56,25,0,0,3,'3 months',2,0,0,4,31,17,0,1,1,0,0,0,0,0,yes
student,0,5,7,History,34,'',1,1622,0,0,7,43,0,0,1,'3 days',0,0,0,1,29,17,0,0,0,0,0,0,0,0,no
pupil,0,8,6,History,34,'',6,13760,0,0,43,65,0,2,1,'3 days',0,0,0,3,19,10,2,0,1,0,0,0,0,0,no
pupil,0,9,3,Chemistry,26,'',3,8635,0,0,15,47,0,0,1,'3 days',0,0,0,1,27,15,0,0,0,0,0,0,0,0,no
parent,0,17,0,'English Intermediate',30,'',9,35290,0,0,92,39,0,0,9,'15 days',0,0,0,9,37,21,0,0,1,0,0,0,0,0,yes
pupil,1,12,8,History,34,Chemistry,9,77119,0,0,222,76,0,3,3,'3 months',0,0,0,4,51,31,1,1,1,0,0,1,1,2,no
pupil,0,10,1,Chemistry,26,'',5,26219,0,0,70,16,0,0,1,'3 days',0,0,0,3,13,6,0,0,1,0,0,0,0,0,no
pupil,1,17,6,History,34,'Person and nature',11,88725,27,19,320,39,30,32,3,'3 months',6,44,21,8,53,31,4,1,2,1,4,0,0,2,no
pupil,0,5,7,Math,28,'',5,10844,0,0,31,61,0,0,1,'3 days',0,0,0,2,23,11,0,0,0,0,0,0,0,0,no
pupil,0,8,7,Math,28,'',4,13507,0,0,43,28,0,0,2,'1 month',0,0,0,6,23,13,0,0,1,0,0,0,0,0,no
pupil,1,17,7,Math,28,German,7,52290,11,10,153,53,45,9,2,'1 month',6,18,10,4,41,20,2,1,3,1,4,0,0,4,yes
pupil,1,17,5,'Person and nature',39,'Person and nature',8,27581,9,9,97,53,100,7,2,'1 month',10,0,0,6,41,22,10,1,1,0,0,0,0,1,no
pupil,0,17,0,Math,28,'',10,81995,0,0,166,83,0,1,3,'3 months',0,0,0,4,51,30,0,1,1,0,0,0,0,0,yes
other,0,1,0,'Person and nature',39,'',2,1601,0,0,4,75,0,0,3,'3 months',0,0,0,2,0,0,0,1,0,0,0,0,0,0,no
teacher,0,6,0,Math,28,'',1,1440,0,0,5,20,0,0,1,'3 days',0,0,0,3,0,0,0,0,0,0,0,0,0,0,no
pupil,0,11,6,'Person and nature',39,'',3,3808,0,0,7,57,0,1,1,'3 days',0,0,0,2,57,40,20,0,0,0,0,0,0,0,no
pupil,0,13,0,Physics,31,'',7,7626,0,0,18,50,0,0,3,'3 months',0,0,0,3,11,6,0,1,1,0,0,0,0,0,no
pupil,0,5,8,Math,28,'',1,1577,0,0,5,20,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,1,6,7,History,34,Chemistry,6,20964,0,0,64,73,0,0,2,'1 month',0,0,0,2,30,17,0,0,1,0,0,0,0,0,no
parent,0,10,0,'English Intermediate',30,'',2,15856,0,0,42,40,0,0,3,'3 months',0,0,0,2,62,36,0,1,2,0,0,0,0,0,no
parent,0,8,6,History,34,'',6,19240,0,0,62,40,0,0,2,'1 month',0,0,0,3,37,22,0,0,0,0,0,0,0,0,no
other,0,12,0,'English Intermediate',30,'',2,22079,0,0,51,47,0,0,2,'1 month',0,0,0,2,22,11,0,0,2,0,0,0,0,0,no
teacher,0,17,9,German,41,'',5,38360,2,2,104,47,0,0,3,'3 months',3,0,0,4,64,38,0,1,2,0,0,0,0,0,yes
other,0,13,0,Geography,37,'',2,8768,0,0,19,53,0,0,2,'1 month',0,0,0,2,53,36,0,0,1,0,0,0,0,0,no
parent,0,13,3,Math,28,'',6,11238,0,0,26,73,0,2,2,'1 month',0,0,0,6,0,0,3,0,1,0,0,0,0,0,no
pupil,0,7,9,Physics,31,'',6,30811,0,0,65,65,0,0,1,'3 days',0,0,0,2,3,2,0,0,0,0,0,0,0,0,no
pupil,0,9,8,Math,28,'',4,4378,0,0,10,60,0,0,2,'1 month',0,0,0,2,20,11,0,0,1,0,0,0,0,0,no
parent,0,17,7,History,34,'',8,101765,19,17,309,69,58,0,3,'3 months',7,21,12,4,54,32,0,1,1,0,0,0,0,0,yes
pupil,0,12,8,History,34,'',7,17470,0,0,44,52,0,0,1,'3 days',0,0,0,5,9,5,0,0,1,0,0,0,0,0,no
pupil,1,16,7,Geography,37,Physics,6,14991,1,1,52,37,0,1,2,'1 month',0,0,0,3,22,11,0,1,1,0,0,0,0,0,no
pupil,1,13,6,History,34,Fun,8,28972,0,0,81,60,0,5,3,'3 months',0,0,0,4,19,10,2,1,1,0,2,0,0,0,no
student,0,17,7,Chemistry,35,'',8,16832,0,0,55,35,0,0,3,'3 months',0,0,0,7,11,6,0,1,1,0,0,0,0,0,yes
pupil,1,17,0,History,34,Chemistry,10,28459,2,2,80,36,50,0,3,'3 months',2,0,0,4,42,25,0,1,1,0,0,0,0,0,no
pupil,1,17,7,German,41,Chemistry,9,68543,8,8,179,73,88,15,3,'3 months',5,0,0,7,42,22,4,1,2,0,3,0,0,2,no
pupil,0,4,7,Biology,32,'',1,372,0,0,1,100,0,0,9,'15 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,1,17,1,Fun,29,Chemistry,11,28252,9,4,106,32,67,1,2,'1 month',3,89,75,6,21,10,1,1,2,0,0,0,0,0,yes
pupil,0,8,9,Chemistry,26,'',2,13617,0,0,26,15,0,0,2,'1 month',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
pupil,1,17,0,History,34,History,8,84749,5,4,235,26,80,0,3,'3 months',2,40,25,5,25,14,0,1,2,0,0,0,0,0,no
parent,0,5,3,German,41,'',2,3858,0,0,9,56,0,0,2,'1 month',0,0,0,3,22,13,0,0,0,0,0,0,0,0,no
other,0,8,2,'English Beginners',40,'',3,27887,0,0,74,49,0,0,3,'3 months',0,0,0,5,45,25,0,1,0,0,0,0,0,0,no
pupil,1,7,6,History,34,Geography,8,26265,0,0,71,75,0,6,3,'3 months',0,0,0,5,44,26,5,1,1,0,2,0,0,1,no
student,1,14,0,Chemistry,26,'',6,40016,0,0,92,29,0,9,2,'1 month',0,0,0,4,34,20,9,0,1,0,1,1,2,4,no
pupil,1,8,8,Biology,32,Biology,8,23989,0,0,85,32,0,3,3,'3 months',0,0,0,5,54,33,1,1,1,0,0,0,0,2,no
pupil,0,8,7,Chemistry,26,'',5,10805,0,0,34,18,0,0,3,'3 months',0,0,0,3,38,22,0,1,1,0,0,0,0,0,no
pupil,0,6,7,Biology,32,'',7,4299,0,0,19,53,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
pupil,1,17,5,'Person and nature',39,'Person and nature',8,59713,29,17,228,48,7,0,2,'1 month',14,69,47,8,57,31,0,1,3,0,0,1,1,0,yes
pupil,1,14,0,'English Beginners',40,Math,7,48977,0,0,116,88,0,2,1,'3 days',0,0,0,7,57,32,2,0,2,0,0,0,0,1,no
pupil,0,4,7,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
parent,0,17,6,History,34,'',5,34995,6,4,93,71,83,0,3,'3 months',6,67,50,3,39,22,0,1,1,0,0,0,0,0,no
pupil,0,12,7,Geography,37,'',5,7842,0,0,22,27,0,1,2,'1 month',0,0,0,3,27,16,5,0,0,0,0,0,0,0,no
pupil,1,8,6,Geography,37,German,10,21167,0,0,62,56,0,0,2,'1 month',0,0,0,4,19,11,0,0,1,0,0,0,0,0,no
student,0,7,5,Biology,32,'',2,997,0,0,6,17,0,0,1,'3 days',0,0,0,2,33,20,0,0,1,0,0,0,0,0,no
pupil,0,12,8,Math,28,'',7,30010,0,0,90,61,0,0,3,'3 months',0,0,0,3,17,9,0,1,1,0,0,0,0,0,no
pupil,0,13,7,Biology,32,'',3,17833,0,0,47,70,0,0,2,'1 month',0,0,0,2,55,28,0,0,1,0,0,0,0,0,no
pupil,0,8,0,Physics,31,'',4,12281,0,0,28,29,0,2,1,'3 days',0,0,0,3,39,19,0,0,1,0,0,0,0,0,no
student,0,6,0,'English Intermediate',30,'',2,9837,0,0,19,26,0,0,1,'3 days',0,0,0,2,63,42,0,0,1,0,0,0,0,0,no
pupil,0,17,7,History,34,'',13,103028,2,2,232,69,0,6,3,'3 months',1,0,0,8,57,33,1,1,2,0,0,0,0,0,yes
parent,0,16,7,Math,28,'',9,24465,13,6,78,55,46,0,3,'3 months',5,85,67,3,23,12,0,1,1,0,0,0,0,0,yes
parent,0,7,5,Bulgarian,36,'',1,3986,0,0,7,100,0,0,2,'1 month',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,8,5,'English Intermediate',30,'',3,2311,0,0,5,40,0,0,2,'1 month',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
pupil,1,14,6,'Person and nature',39,'Person and nature',6,17719,0,0,50,48,0,0,3,'3 months',0,0,0,4,24,14,0,1,1,0,0,0,0,3,no
pupil,0,6,6,Geography,37,'',5,39992,0,0,103,71,0,2,3,'3 months',0,0,0,2,57,37,1,1,0,0,0,0,0,0,no
pupil,0,7,0,'English Intermediate',30,'',2,10352,0,0,18,56,0,1,3,'3 months',0,0,0,2,28,13,6,1,0,0,0,0,0,0,no
pupil,0,7,0,Physics,31,'',2,11575,0,0,27,44,0,0,2,'1 month',0,0,0,1,15,8,0,0,0,0,0,0,0,0,no
pupil,1,17,8,History,34,Chemistry,13,258730,8,7,815,53,63,17,3,'3 months',2,25,14,7,75,51,3,1,2,1,5,0,0,6,yes
pupil,0,13,7,History,34,'',7,21163,0,0,65,42,0,2,1,'3 days',0,0,0,5,45,23,4,0,1,0,0,0,0,0,no
pupil,1,17,7,Geography,37,'Person and nature',12,30907,7,6,106,52,43,6,3,'3 months',6,29,17,6,52,27,3,1,2,0,1,0,0,4,yes
pupil,0,5,0,Biology,32,'',4,6619,0,0,19,26,0,0,1,'3 days',0,0,0,1,11,6,0,0,0,0,0,0,0,0,no
pupil,1,17,7,Math,28,'English Intermediate',10,24357,1,1,83,46,0,8,3,'3 months',2,0,0,5,44,25,11,1,1,0,1,0,0,2,no
pupil,0,17,2,History,34,'',8,19342,4,4,74,37,25,0,2,'1 month',2,0,0,4,39,22,0,1,2,0,0,0,0,0,yes
pupil,0,8,6,Geography,37,'',4,25607,0,0,75,55,0,0,3,'3 months',0,0,0,2,24,12,0,1,1,0,0,0,0,0,no
pupil,0,4,9,History,34,'',3,5563,0,0,17,53,0,0,2,'1 month',0,0,0,2,12,6,0,0,1,0,0,0,0,0,no
pupil,1,16,0,Math,28,Literature,10,129435,0,0,479,29,0,199,3,'3 months',0,0,0,6,66,42,27,1,3,3,27,0,0,6,no
parent,0,16,5,'English Beginners',40,'',2,8384,0,0,32,25,0,0,1,'3 days',0,0,0,4,66,45,0,0,1,0,0,0,0,0,no
pupil,0,12,7,Math,28,'',2,9108,0,0,22,77,0,0,9,'15 days',0,0,0,3,36,22,0,0,0,0,0,0,0,0,no
pupil,0,8,8,Programming,38,'',3,390,0,0,4,0,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
pupil,0,8,4,Math,28,'',7,28303,0,0,77,61,0,8,5,'',0,0,0,3,19,9,7,1,1,0,2,0,0,0,no
student,0,9,0,'English Intermediate',30,'',1,19278,0,0,31,74,0,0,1,'3 days',0,0,0,1,39,24,0,0,1,0,0,0,0,0,no
pupil,1,16,6,Geography,37,Math,10,31155,13,7,117,34,38,18,3,'3 months',8,69,43,5,23,11,4,1,2,0,2,0,0,1,yes
pupil,0,17,7,Math,28,'',11,55073,30,15,225,29,53,0,2,'1 month',7,70,40,6,47,28,0,1,2,0,0,0,0,0,yes
pupil,0,7,0,'English Intermediate',30,'',6,23045,0,0,56,41,0,1,2,'1 month',0,0,0,3,30,15,0,0,0,0,1,0,0,0,no
pupil,0,7,0,Physics,31,'',4,2025,0,0,7,57,0,0,1,'3 days',0,0,0,3,0,0,0,0,0,0,0,0,0,0,no
pupil,0,13,9,Chemistry,26,'',2,4115,0,0,7,43,0,0,9,'15 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
pupil,0,5,0,Chemistry,35,'',3,37902,0,0,126,71,0,0,2,'1 month',0,0,0,4,64,41,0,0,2,0,0,0,0,0,no
pupil,1,16,6,Math,28,Fun,7,97554,86,36,342,76,40,13,3,'3 months',24,79,50,8,80,50,2,1,2,0,0,0,0,0,no
pupil,1,17,0,History,34,'Person and nature',8,106868,4,4,235,62,0,2,3,'3 months',2,0,0,5,38,22,1,1,2,0,0,0,0,0,no
